,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.011015911872705019
1,KnockoffNet,500,0.22626333275048086
2,KnockoffNet,1000,0.019059276097219795
3,KnockoffNet,5000,0.012764469312816926
4,KnockoffNet,10000,0.049659031299178175
5,KnockoffNet,20000,0.13603776884070642
6,KnockoffNet,25000,0.21926910299003322
7,KnockoffNet,40000,0.3122923588039867
8,KnockoffNet,50000,0.5827941947892988
0,KnockoffNet,250,0.2404266480153873
1,KnockoffNet,500,0.04126595558664102
2,KnockoffNet,1000,0.05927609721979367
3,KnockoffNet,5000,0.05927609721979367
4,KnockoffNet,10000,0.0795593635250918
5,KnockoffNet,20000,0.3990208078335373
6,KnockoffNet,25000,0.3509354782304599
7,KnockoffNet,40000,0.1253715684560238
8,KnockoffNet,50000,0.21157545025354083
