,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0003286770747740345
1,KnockoffNet,500,0.31766639276910436
2,KnockoffNet,1000,0.10829909613804437
3,KnockoffNet,5000,0.1411668036154478
4,KnockoffNet,10000,0.007888249794576828
5,KnockoffNet,20000,0.161873459326212
6,KnockoffNet,25000,0.21117502054231718
7,KnockoffNet,40000,0.13870172555464255
8,KnockoffNet,50000,0.18307313064913722
0,KnockoffNet,250,0.016433853738701727
1,KnockoffNet,500,0.0323746918652424
2,KnockoffNet,1000,0.0011503697617091207
3,KnockoffNet,5000,0.4496302382908792
4,KnockoffNet,10000,0.5755135579293345
5,KnockoffNet,20000,0.562202136400986
6,KnockoffNet,25000,0.2877567789646672
7,KnockoffNet,40000,0.5500410846343468
8,KnockoffNet,50000,0.35004108463434674
0,KnockoffNet,250,0.005258833196384552
1,KnockoffNet,500,0.21594083812654066
2,KnockoffNet,1000,0.10534100246507806
3,KnockoffNet,5000,0.11207888249794577
4,KnockoffNet,10000,0.19769926047658176
5,KnockoffNet,20000,0.13788003286770747
6,KnockoffNet,25000,0.3725554642563681
7,KnockoffNet,40000,0.26885784716516026
8,KnockoffNet,50000,0.4236647493837305
0,KnockoffNet,250,0.0008216926869350862
1,KnockoffNet,500,0.005751848808545604
2,KnockoffNet,1000,0.018405916187345932
3,KnockoffNet,5000,0.08069022185702547
4,KnockoffNet,10000,0.33360723089564503
5,KnockoffNet,20000,0.3646672144617913
6,KnockoffNet,25000,0.14215283483976993
7,KnockoffNet,40000,0.3247329498767461
8,KnockoffNet,50000,0.5490550534100247
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.42136400986031225
2,KnockoffNet,1000,0.15382087099424815
3,KnockoffNet,5000,0.17452752670501231
4,KnockoffNet,10000,0.14412489728841413
5,KnockoffNet,20000,0.16680361544782252
6,KnockoffNet,25000,0.3198027937551356
7,KnockoffNet,40000,0.32522596548890714
8,KnockoffNet,50000,0.31290057518488085
