,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.0
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.036585365853658534
4,KnockoffNet,10000,0.12981386392811298
5,KnockoffNet,20000,0.24534659820282415
6,KnockoffNet,25000,0.5107509627727856
7,KnockoffNet,40000,0.6004492939666238
8,KnockoffNet,50000,0.7321887034659821
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.0
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.0
4,KnockoffNet,10000,0.001123234916559692
5,KnockoffNet,20000,0.002406931964056483
6,KnockoffNet,25000,0.7329910141206675
7,KnockoffNet,40000,0.7472721437740694
8,KnockoffNet,50000,0.891367137355584
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.0
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.0008023106546854943
4,KnockoffNet,10000,0.0
5,KnockoffNet,20000,0.6415275994865212
6,KnockoffNet,25000,0.6593388960205392
7,KnockoffNet,40000,0.8137034659820283
8,KnockoffNet,50000,0.2379653401797176
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.0
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.002406931964056483
4,KnockoffNet,10000,0.07156611039794608
5,KnockoffNet,20000,0.00032092426187419767
6,KnockoffNet,25000,0.38575096277278564
7,KnockoffNet,40000,0.4732028241335045
8,KnockoffNet,50000,0.5999679075738126
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.0
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.00032092426187419767
4,KnockoffNet,10000,0.01797175866495507
5,KnockoffNet,20000,0.6227535301668806
6,KnockoffNet,25000,0.7747111681643132
7,KnockoffNet,40000,0.8453145057766367
8,KnockoffNet,50000,0.6537227214377407
