,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.25078060805258834
2,KnockoffNet,1000,0.06869350862777321
3,KnockoffNet,5000,0.16894001643385373
4,KnockoffNet,10000,0.05308134757600658
5,KnockoffNet,20000,0.09482333607230896
6,KnockoffNet,25000,0.28824979457682826
7,KnockoffNet,40000,0.5649958915365654
8,KnockoffNet,50000,0.4248151191454396
0,KnockoffNet,250,0.010682004930156122
1,KnockoffNet,500,0.22251437962202136
2,KnockoffNet,1000,0.0004930156121610517
3,KnockoffNet,5000,0.1513557929334429
4,KnockoffNet,10000,0.22087099424815118
5,KnockoffNet,20000,0.6070665571076418
6,KnockoffNet,25000,0.1599013968775678
7,KnockoffNet,40000,0.3769926047658176
8,KnockoffNet,50000,0.40131470829909616
0,KnockoffNet,250,0.010682004930156122
1,KnockoffNet,500,0.2522596548890715
2,KnockoffNet,1000,0.03500410846343468
3,KnockoffNet,5000,0.09465899753492193
4,KnockoffNet,10000,0.1934264585045193
5,KnockoffNet,20000,0.2831552999178307
6,KnockoffNet,25000,0.32423993426458503
7,KnockoffNet,40000,0.14905505341002465
8,KnockoffNet,50000,0.3973705834018077
0,KnockoffNet,250,0.05061626951520132
1,KnockoffNet,500,0.06787181594083813
2,KnockoffNet,1000,0.0003286770747740345
3,KnockoffNet,5000,0.3161873459326212
4,KnockoffNet,10000,0.26820049301561216
5,KnockoffNet,20000,0.31750205423171735
6,KnockoffNet,25000,0.48594905505341
7,KnockoffNet,40000,0.409695973705834
8,KnockoffNet,50000,0.2134757600657354
0,KnockoffNet,250,0.0018077239112571897
1,KnockoffNet,500,0.2534100246507806
2,KnockoffNet,1000,0.05784716516023007
3,KnockoffNet,5000,0.3441248972884141
4,KnockoffNet,10000,0.21101068200493014
5,KnockoffNet,20000,0.3063270336894002
6,KnockoffNet,25000,0.3319638455217749
7,KnockoffNet,40000,0.31700903861955626
8,KnockoffNet,50000,0.22350041084634348
