,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.0
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.04990372272143774
4,KnockoffNet,10000,0.0038510911424903724
5,KnockoffNet,20000,0.08376123234916559
6,KnockoffNet,25000,0.16318998716302952
7,KnockoffNet,40000,0.014441591784338896
8,KnockoffNet,50000,0.7041078305519898
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.0
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.0
4,KnockoffNet,10000,0.1121630295250321
5,KnockoffNet,20000,0.1923940949935815
6,KnockoffNet,25000,0.4964698331193838
7,KnockoffNet,40000,0.5059370988446726
8,KnockoffNet,50000,0.1798780487804878
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.0
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.01251604621309371
4,KnockoffNet,10000,0.00032092426187419767
5,KnockoffNet,20000,0.4975930680359435
6,KnockoffNet,25000,0.26187419768934533
7,KnockoffNet,40000,0.6537227214377407
8,KnockoffNet,50000,0.34066110397946087
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.0
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.0
4,KnockoffNet,10000,0.008825417201540436
5,KnockoffNet,20000,0.05166880616174583
6,KnockoffNet,25000,0.025994865211810013
7,KnockoffNet,40000,0.2955712451861361
8,KnockoffNet,50000,0.3403401797175867
0,KnockoffNet,250,0.0
1,KnockoffNet,500,0.0
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.00032092426187419767
4,KnockoffNet,10000,0.06498716302952504
5,KnockoffNet,20000,0.03610397946084724
6,KnockoffNet,25000,0.5136392811296534
7,KnockoffNet,40000,0.535622593068036
8,KnockoffNet,50000,0.37836970474967907
