,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.05749445228969135
1,KnockoffNet,500,0.11519063949969739
2,KnockoffNet,1000,0.26568489005446844
3,KnockoffNet,5000,0.1619931410127093
4,KnockoffNet,10000,0.19770022190841235
5,KnockoffNet,20000,0.10691950776679443
6,KnockoffNet,25000,0.1930603187411741
7,KnockoffNet,40000,0.045592091991123664
8,KnockoffNet,50000,0.2402662900948154
0,KnockoffNet,250,0.12648779503732097
1,KnockoffNet,500,0.13253984264676216
2,KnockoffNet,1000,0.11034900141214445
3,KnockoffNet,5000,0.3826911438369982
4,KnockoffNet,10000,0.27778898527335083
5,KnockoffNet,20000,0.1991123663506153
6,KnockoffNet,25000,0.21424248537421828
7,KnockoffNet,40000,0.1557393584829534
8,KnockoffNet,50000,0.4639903167238249
0,KnockoffNet,250,0.6520072624571314
1,KnockoffNet,500,0.16622957433931815
2,KnockoffNet,1000,0.22816219487593303
3,KnockoffNet,5000,0.3364938470849304
4,KnockoffNet,10000,0.3588864232398628
5,KnockoffNet,20000,0.3415372200927981
6,KnockoffNet,25000,0.28525317732499494
7,KnockoffNet,40000,0.5356062134355457
8,KnockoffNet,50000,0.24994956626992132
0,KnockoffNet,250,0.14524914262658867
1,KnockoffNet,500,0.2648779503732096
2,KnockoffNet,1000,0.18821868065362113
3,KnockoffNet,5000,0.4807343151099455
4,KnockoffNet,10000,0.06556384910227961
5,KnockoffNet,20000,0.38813798668549526
6,KnockoffNet,25000,0.2695178535404478
7,KnockoffNet,40000,0.35101876134758925
8,KnockoffNet,50000,0.35061529150695986
0,KnockoffNet,250,0.3867258422432923
1,KnockoffNet,500,0.18156142828323582
2,KnockoffNet,1000,0.11640104902158564
3,KnockoffNet,5000,0.29735727254387734
4,KnockoffNet,10000,0.3709905184587452
5,KnockoffNet,20000,0.320960258220698
6,KnockoffNet,25000,0.18458745208795643
7,KnockoffNet,40000,0.17288682670970346
8,KnockoffNet,50000,0.33205567883800685
