,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.1897590361445783
1,KnockoffNet,500,0.03831994645247657
2,KnockoffNet,1000,0.025602409638554216
3,KnockoffNet,5000,0.030455153949129853
4,KnockoffNet,10000,0.035809906291834004
5,KnockoffNet,20000,0.6019076305220884
6,KnockoffNet,25000,0.661144578313253
7,KnockoffNet,40000,0.5962182061579652
8,KnockoffNet,50000,0.3177710843373494
0,KnockoffNet,250,0.04216867469879518
1,KnockoffNet,500,0.01706827309236948
2,KnockoffNet,1000,0.006024096385542169
3,KnockoffNet,5000,0.7225568942436412
4,KnockoffNet,10000,0.02961847389558233
5,KnockoffNet,20000,0.8440428380187416
6,KnockoffNet,25000,0.9067938420348058
7,KnockoffNet,40000,0.7401271753681392
8,KnockoffNet,50000,0.7173694779116466
0,KnockoffNet,250,0.10943775100401607
1,KnockoffNet,500,0.03597724230254351
2,KnockoffNet,1000,0.012717536813922356
3,KnockoffNet,5000,0.014056224899598393
4,KnockoffNet,10000,0.059571619812583666
5,KnockoffNet,20000,0.24832663989290496
6,KnockoffNet,25000,0.5553882195448461
7,KnockoffNet,40000,0.8810240963855421
8,KnockoffNet,50000,0.8448795180722891
0,KnockoffNet,250,0.03547523427041499
1,KnockoffNet,500,0.23862115127175368
2,KnockoffNet,1000,0.022590361445783132
3,KnockoffNet,5000,0.0749665327978581
4,KnockoffNet,10000,0.26255020080321284
5,KnockoffNet,20000,0.6805555555555556
6,KnockoffNet,25000,0.8015394912985274
7,KnockoffNet,40000,0.9601740294511378
8,KnockoffNet,50000,0.8813587684069611
0,KnockoffNet,250,0.014056224899598393
1,KnockoffNet,500,0.014725568942436412
2,KnockoffNet,1000,0.004685408299866131
3,KnockoffNet,5000,0.013386880856760375
4,KnockoffNet,10000,0.3333333333333333
5,KnockoffNet,20000,0.8498995983935743
6,KnockoffNet,25000,0.8341700133868809
7,KnockoffNet,40000,0.7230589022757697
8,KnockoffNet,50000,0.8231258366800536
