,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.07368598952171708
1,KnockoffNet,500,0.026702720973466283
2,KnockoffNet,1000,0.16325840797701538
3,KnockoffNet,5000,0.4062869697481832
4,KnockoffNet,10000,0.07503802602670272
5,KnockoffNet,20000,0.13942876457664358
6,KnockoffNet,25000,0.2345783336150076
7,KnockoffNet,40000,0.12793645428426567
8,KnockoffNet,50000,0.10528984282575629
0,KnockoffNet,250,0.15801926652019604
1,KnockoffNet,500,0.25891499070474905
2,KnockoffNet,1000,0.20128443467973636
3,KnockoffNet,5000,0.12742944059489605
4,KnockoffNet,10000,0.13790772350853472
5,KnockoffNet,20000,0.09329051884400878
6,KnockoffNet,25000,0.25198580361669765
7,KnockoffNet,40000,0.0627006929187088
8,KnockoffNet,50000,0.07334798039547068
