,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.14949906073888541
1,KnockoffNet,500,0.046336881653099564
2,KnockoffNet,1000,0.024420788979336257
3,KnockoffNet,5000,0.022072636192861615
4,KnockoffNet,10000,0.10597996242955542
5,KnockoffNet,20000,0.07623669380087664
6,KnockoffNet,25000,0.0704445835942392
7,KnockoffNet,40000,0.2922667501565435
8,KnockoffNet,50000,0.1628052598622417
0,KnockoffNet,250,0.10597996242955542
1,KnockoffNet,500,0.2598622417031935
2,KnockoffNet,1000,0.003287413901064496
3,KnockoffNet,5000,0.37335629304946777
4,KnockoffNet,10000,0.17485911083281153
5,KnockoffNet,20000,0.11474639949906074
6,KnockoffNet,25000,0.16875391358797745
7,KnockoffNet,40000,0.1444896681277395
8,KnockoffNet,50000,0.4751095804633688
