,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.004470198675496689
1,KnockoffNet,500,0.0006622516556291391
2,KnockoffNet,1000,0.002980132450331126
3,KnockoffNet,5000,0.0011589403973509935
4,KnockoffNet,10000,0.0004966887417218543
5,KnockoffNet,20000,0.029304635761589405
6,KnockoffNet,25000,0.05596026490066225
7,KnockoffNet,40000,0.049172185430463575
8,KnockoffNet,50000,0.018377483443708608
0,KnockoffNet,250,0.00347682119205298
1,KnockoffNet,500,0.0004966887417218543
2,KnockoffNet,1000,0.0
3,KnockoffNet,5000,0.0
4,KnockoffNet,10000,0.0018211920529801326
5,KnockoffNet,20000,0.0004966887417218543
6,KnockoffNet,25000,0.04768211920529802
7,KnockoffNet,40000,0.03824503311258278
8,KnockoffNet,50000,0.028642384105960265
