,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.127
1,KnockoffNet,500,0.1512
2,KnockoffNet,1000,0.4988
3,KnockoffNet,5000,0.6664
4,KnockoffNet,10000,0.7116
5,KnockoffNet,20000,0.7532
0,KnockoffNet,250,0.1034
1,KnockoffNet,500,0.2152
2,KnockoffNet,1000,0.5006
3,KnockoffNet,5000,0.6484
4,KnockoffNet,10000,0.7184
5,KnockoffNet,20000,0.7512
0,KnockoffNet,250,0.1036
1,KnockoffNet,500,0.2338
2,KnockoffNet,1000,0.5182
3,KnockoffNet,5000,0.6404
4,KnockoffNet,10000,0.7238
5,KnockoffNet,20000,0.7606
0,KnockoffNet,250,0.1032
1,KnockoffNet,500,0.1486
2,KnockoffNet,1000,0.4846
3,KnockoffNet,5000,0.639
4,KnockoffNet,10000,0.7118
5,KnockoffNet,20000,0.7414
0,KnockoffNet,250,0.0944
1,KnockoffNet,500,0.1992
2,KnockoffNet,1000,0.5232
3,KnockoffNet,5000,0.6688
4,KnockoffNet,10000,0.7666
5,KnockoffNet,20000,0.7188
