,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.23927392
1,KnockoffNet,500,0.2647336
2,KnockoffNet,1000,0.36209336
3,KnockoffNet,5000,0.3698727
4,KnockoffNet,10000,0.6122112
5,KnockoffNet,20000,0.5311174
0,KnockoffNet,250,0.2807638
1,KnockoffNet,500,0.30975956
2,KnockoffNet,1000,0.3767091
3,KnockoffNet,5000,0.37388024
4,KnockoffNet,10000,0.36445072
5,KnockoffNet,20000,0.55256957
0,KnockoffNet,250,0.25247526
1,KnockoffNet,500,0.31117398
2,KnockoffNet,1000,0.22701555
3,KnockoffNet,5000,0.34347007
4,KnockoffNet,10000,0.5518623
5,KnockoffNet,20000,0.5066007
