,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.108
1,KnockoffNet,500,0.116
2,KnockoffNet,1000,0.54
3,KnockoffNet,5000,0.512
4,KnockoffNet,10000,0.5
5,KnockoffNet,20000,0.5
0,KnockoffNet,250,0.052
1,KnockoffNet,500,0.232
2,KnockoffNet,1000,0.588
3,KnockoffNet,5000,0.476
4,KnockoffNet,10000,0.488
5,KnockoffNet,20000,0.408
0,KnockoffNet,250,0.12
1,KnockoffNet,500,0.22
2,KnockoffNet,1000,0.552
3,KnockoffNet,5000,0.512
4,KnockoffNet,10000,0.5
5,KnockoffNet,20000,0.508
0,KnockoffNet,250,0.088
1,KnockoffNet,500,0.18
2,KnockoffNet,1000,0.564
3,KnockoffNet,5000,0.496
4,KnockoffNet,10000,0.392
5,KnockoffNet,20000,0.452
0,KnockoffNet,250,0.092
1,KnockoffNet,500,0.428
2,KnockoffNet,1000,0.516
3,KnockoffNet,5000,0.508
4,KnockoffNet,10000,0.476
5,KnockoffNet,20000,0.484
