,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.744
1,KnockoffNet,500,0.72
2,KnockoffNet,1000,0.696
3,KnockoffNet,5000,0.664
4,KnockoffNet,10000,0.692
5,KnockoffNet,20000,0.64
0,KnockoffNet,250,0.74
1,KnockoffNet,500,0.744
2,KnockoffNet,1000,0.748
3,KnockoffNet,5000,0.74
4,KnockoffNet,10000,0.676
5,KnockoffNet,20000,0.688
0,KnockoffNet,250,0.756
1,KnockoffNet,500,0.764
2,KnockoffNet,1000,0.716
3,KnockoffNet,5000,0.708
4,KnockoffNet,10000,0.696
5,KnockoffNet,20000,0.668
0,KnockoffNet,250,0.756
1,KnockoffNet,500,0.724
2,KnockoffNet,1000,0.728
3,KnockoffNet,5000,0.708
4,KnockoffNet,10000,0.664
5,KnockoffNet,20000,0.696
0,KnockoffNet,250,0.728
1,KnockoffNet,500,0.74
2,KnockoffNet,1000,0.668
3,KnockoffNet,5000,0.724
4,KnockoffNet,10000,0.656
5,KnockoffNet,20000,0.644
