,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.128
1,KnockoffNet,500,0.152
2,KnockoffNet,1000,0.48
3,KnockoffNet,5000,0.512
4,KnockoffNet,10000,0.472
5,KnockoffNet,20000,0.592
0,KnockoffNet,250,0.08
1,KnockoffNet,500,0.184
2,KnockoffNet,1000,0.528
3,KnockoffNet,5000,0.592
4,KnockoffNet,10000,0.584
5,KnockoffNet,20000,0.552
0,KnockoffNet,250,0.144
1,KnockoffNet,500,0.248
2,KnockoffNet,1000,0.488
3,KnockoffNet,5000,0.632
4,KnockoffNet,10000,0.528
5,KnockoffNet,20000,0.6
0,KnockoffNet,250,0.08
1,KnockoffNet,500,0.192
2,KnockoffNet,1000,0.592
3,KnockoffNet,5000,0.648
4,KnockoffNet,10000,0.472
5,KnockoffNet,20000,0.52
0,KnockoffNet,250,0.08
1,KnockoffNet,500,0.28
2,KnockoffNet,1000,0.512
3,KnockoffNet,5000,0.68
4,KnockoffNet,10000,0.6
5,KnockoffNet,20000,0.632
