,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.4506
1,KnockoffNet,500,0.5918
2,KnockoffNet,1000,0.6106
3,KnockoffNet,5000,0.6726
4,KnockoffNet,10000,0.7858
5,KnockoffNet,20000,0.737
0,KnockoffNet,250,0.5336
1,KnockoffNet,500,0.628
2,KnockoffNet,1000,0.623
3,KnockoffNet,5000,0.7018
4,KnockoffNet,10000,0.7968
5,KnockoffNet,20000,0.7224
0,KnockoffNet,250,0.5196
1,KnockoffNet,500,0.6136
2,KnockoffNet,1000,0.6064
3,KnockoffNet,5000,0.69
4,KnockoffNet,10000,0.7354
5,KnockoffNet,20000,0.755
0,KnockoffNet,250,0.5008
1,KnockoffNet,500,0.5626
2,KnockoffNet,1000,0.6324
3,KnockoffNet,5000,0.7308
4,KnockoffNet,10000,0.7546
5,KnockoffNet,20000,0.7526
0,KnockoffNet,250,0.5692
1,KnockoffNet,500,0.5778
2,KnockoffNet,1000,0.6312
3,KnockoffNet,5000,0.71
4,KnockoffNet,10000,0.7418
5,KnockoffNet,20000,0.779
