,Method Name,Stealing Dataset Size,Accuracy
0,KnockoffNet,250,0.5541999936103821
1,KnockoffNet,500,0.5681999921798706
2,KnockoffNet,1000,0.5393999814987183
3,KnockoffNet,5000,0.5562000274658203
4,KnockoffNet,10000,0.5842000246047974
5,KnockoffNet,20000,0.5965999960899353
0,KnockoffNet,250,0.5802000164985657
1,KnockoffNet,500,0.5888000130653381
2,KnockoffNet,1000,0.5577999949455261
3,KnockoffNet,5000,0.59880000352859
4,KnockoffNet,10000,0.5917999744415283
5,KnockoffNet,20000,0.5896000266075134
0,KnockoffNet,250,0.5830000042915344
1,KnockoffNet,500,0.6155999898910522
2,KnockoffNet,1000, 0.5618000030517578
3,KnockoffNet,5000,0.5325999855995178
4,KnockoffNet,10000,0.6078000068664551
5,KnockoffNet,20000,0.5979999899864197
0,KnockoffNet,250,0.5771999955177307
1,KnockoffNet,500, 0.5838000178337097
2,KnockoffNet,1000,0.5447999835014343
3,KnockoffNet,5000,0.596199989318847
4,KnockoffNet,10000,0.604200005531311
5,KnockoffNet,20000,0.5985999703407288
0,KnockoffNet,250,0.555400013923645
1,KnockoffNet,500,0.5727999806404114
2,KnockoffNet,1000,0.5167999863624573
3,KnockoffNet,5000,0.574400007724762
4,KnockoffNet,10000,0.5491999983787537
5,KnockoffNet,20000,0.579800009727478
